"","Date","dxy","gold"
"1430",2014-12-02,88.6500015258789,1199.19995117188
"1431",2014-12-03,88.9599990844727,1208.5
"1432",2014-12-04,88.6999969482422,1207.5
"1433",2014-12-05,89.3300018310547,1190.09997558594
"1434",2014-12-08,89.0400009155273,1194.69995117188
"1435",2014-12-09,88.6900024414062,1231.5
"1436",2014-12-10,88.2699966430664,1228.90002441406
"1437",2014-12-11,88.6600036621094,1225.09997558594
"1438",2014-12-12,88.3600006103516,1222
"1439",2014-12-15,88.4599990844727,1207.19995117188
"1440",2014-12-16,88.129997253418,1193.90002441406
"1441",2014-12-17,89.129997253418,1194.30004882812
"1442",2014-12-18,89.2399978637695,1194.69995117188
"1443",2014-12-19,89.5999984741211,1195.90002441406
"1444",2014-12-22,89.7699966430664,1179.69995117188
"1445",2014-12-23,90.0599975585938,1177.90002441406
"1446",2014-12-24,89.9700012207031,1173.5
"1447",2014-12-26,90.0299987792969,1195.30004882812
"1448",2014-12-29,90.1900024414062,1181.69995117188
"1449",2014-12-30,89.9899978637695,1200.19995117188
"1450",2014-12-31,90.2699966430664,1183.90002441406
"1451",2015-01-02,91.0800018310547,1186
"1452",2015-01-05,91.379997253418,1203.90002441406
"1453",2015-01-06,91.5,1219.30004882812
"1454",2015-01-07,91.8899993896484,1210.59997558594
"1455",2015-01-08,92.370002746582,1208.40002441406
"1456",2015-01-09,91.9400024414062,1216
"1457",2015-01-12,91.9800033569336,1232.69995117188
"1458",2015-01-13,92.3099975585938,1234.30004882812
"1459",2015-01-14,92.1600036621094,1234.40002441406
"1460",2015-01-15,92.3499984741211,1264.69995117188
"1461",2015-01-16,92.5199966430664,1276.90002441406
"1462",2015-01-20,93.0500030517578,1294.19995117188
"1463",2015-01-21,92.9000015258789,1293.69995117188
"1464",2015-01-22,94.2399978637695,1300.69995117188
"1465",2015-01-23,95,1292.59997558594
"1466",2015-01-26,94.8000030517578,1279.40002441406
"1467",2015-01-27,94.0199966430664,1291.69995117188
"1468",2015-01-28,94.4700012207031,1285.90002441406
"1469",2015-01-29,94.7799987792969,1254.59997558594
"1470",2015-01-30,94.8000030517578,1278.5
"1471",2015-02-02,94.5,1276.19995117188
"1472",2015-02-03,93.5999984741211,1259.69995117188
"1473",2015-02-04,93.9899978637695,1263.80004882812
"1474",2015-02-05,94.6999969482422,1262
"1475",2015-02-06,94.6999969482422,1233.90002441406
"1476",2015-02-09,94.4499969482422,1240.80004882812
"1477",2015-02-10,94.7600021362305,1231.59997558594
"1478",2015-02-11,94.9899978637695,1219
"1479",2015-02-12,94.0899963378906,1220.09997558594
"1480",2015-02-13,94.1999969482422,1226.5
"1481",2015-02-17,94.0599975585938,1208.09997558594
"1482",2015-02-18,94.1999969482422,1199.69995117188
"1483",2015-02-19,94.4000015258789,1207.09997558594
"1484",2015-02-20,94.25,1204.40002441406
"1485",2015-02-23,94.5699996948242,1200.30004882812
"1486",2015-02-24,94.4899978637695,1196.90002441406
"1487",2015-02-25,94.2099990844727,1201
"1488",2015-02-26,95.2900009155273,1209.59997558594
"1489",2015-02-27,95.25,1212.59997558594
"1490",2015-03-02,95.4599990844727,1207.69995117188
"1491",2015-03-03,95.379997253418,1204
"1492",2015-03-04,95.9700012207031,1200.59997558594
"1493",2015-03-05,96.379997253418,1195.90002441406
"1494",2015-03-06,97.620002746582,1164.09997558594
"1495",2015-03-09,97.5899963378906,1166.40002441406
"1496",2015-03-10,98.620002746582,1160.09997558594
"1497",2015-03-11,99.8000030517578,1150.69995117188
"1498",2015-03-12,99.1500015258789,1152.09997558594
"1499",2015-03-13,100.330001831055,1152.59997558594
"1500",2015-03-16,99.5999984741211,1153.30004882812
"1501",2015-03-17,99.5899963378906,1148.30004882812
"1502",2015-03-18,98.5500030517578,1151.40002441406
"1503",2015-03-19,99.0999984741211,1169.09997558594
"1504",2015-03-20,97.9100036621094,1184.80004882812
"1505",2015-03-23,97.0299987792969,1188
"1506",2015-03-24,97.1900024414062,1191.69995117188
"1507",2015-03-25,96.9800033569336,1197.30004882812
"1508",2015-03-26,97.4400024414062,1205.09997558594
"1509",2015-03-27,97.2900009155273,1199.80004882812
"1510",2015-03-30,97.9800033569336,1184.80004882812
"1511",2015-03-31,98.3600006103516,1183.09997558594
"1512",2015-04-01,98.1900024414062,1208.09997558594
"1513",2015-04-02,97.4400024414062,1200.90002441406
"1514",2015-04-06,97.1100006103516,1218.59997558594
"1515",2015-04-07,97.8300018310547,1210.59997558594
"1516",2015-04-08,98.0699996948242,1203.09997558594
"1517",2015-04-09,99.1600036621094,1193.59997558594
"1518",2015-04-10,99.3899993896484,1204.59997558594
"1519",2015-04-13,99.4899978637695,1199.30004882812
"1520",2015-04-14,98.7600021362305,1192.80004882812
"1521",2015-04-15,98.3300018310547,1201.5
"1522",2015-04-16,97.4199981689453,1198
"1523",2015-04-17,97.5199966430664,1202.90002441406
"1524",2015-04-20,97.9400024414062,1193.5
"1525",2015-04-21,97.9800033569336,1202.90002441406
"1526",2015-04-22,98.0199966430664,1186.90002441406
"1527",2015-04-23,97.2799987792969,1194.40002441406
"1528",2015-04-24,96.9199981689453,1175.19995117188
"1529",2015-04-27,96.7699966430664,1203.30004882812
"1530",2015-04-28,96.0899963378906,1214
"1531",2015-04-29,95.120002746582,1209.80004882812
"1532",2015-04-30,94.5999984741211,1182.40002441406
"1533",2015-05-01,95.3000030517578,1174.5
"1534",2015-05-04,95.4800033569336,1186.80004882812
"1535",2015-05-05,95.129997253418,1193.19995117188
